ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:47:10
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 23-09-2024; Hora: 16:47:13
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 23-09-2024; Hora: 16:47:14
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 23-09-2024; Hora: 16:47:53
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 23-09-2024; Hora: 16:48:19
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:48:20
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 23-09-2024; Hora: 16:48:26
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:48:27
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:50:45
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:51:08
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:52:02
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:52:33
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:52:53
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:52:54
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:53:03
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:53:11
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:53:46
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:53:58
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:54:28
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:55:29
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:55:32
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:57:29
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:57:40
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:57:42
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 16:59:52
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:37:28
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:45:05
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:45:21
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:45:28
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:50:35
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:50:52
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:53:05
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:53:10
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:57:32
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:58:46
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:58:50
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:58:56
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 17:59:42
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:00:06
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:00:26
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:03:13
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:03:17
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 23-09-2024; Hora: 18:03:25
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:04:22
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 23-09-2024; Hora: 18:05:49
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:06:19
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:08:35
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 23-09-2024; Hora: 18:27:09
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 23-09-2024; Hora: 18:27:17
