ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:29:21
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:30:41
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:38:13
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:38:24
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:30:17
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:31:08
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:31:39
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:36:11
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:38:48
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:40:39
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:42:09
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:51:50
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:52:48
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 12:54:07
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 06-09-2024; Hora: 13:04:26
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 06-09-2024; Hora: 13:04:45
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 13:04:56
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 13:06:27
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 13:23:10
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 13:33:55
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 06-09-2024; Hora: 13:38:55
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 06-09-2024; Hora: 13:49:22
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 13:49:26
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:50:52
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 06-09-2024; Hora: 16:53:32
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 06-09-2024; Hora: 16:54:41
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:54:44
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:55:19
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:56:53
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:56:58
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:57:00
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:57:03
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 16:57:07
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 17:07:59
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 17:08:00
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 17:09:02
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 17:09:10
