ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 08:04:20
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 08:45:41
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 17-01-2025; Hora: 08:45:51
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 10:21:01
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 10:21:05
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 10:42:10
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 17-01-2025; Hora: 11:01:55
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 11:01:59
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 12:03:40
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 12:03:42
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 17-01-2025; Hora: 12:06:50
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 12:06:54
 - ; Archivo: actividades.php; Acción: Edita Actividades10 Asdasd; Fecha: 17-01-2025; Hora: 13:05:35
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 13:05:48
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:05:50
1 - Software; Archivo: actividades.php; Acción: Edita Actividades10 Asdasd; Fecha: 17-01-2025; Hora: 13:06:11
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:06:12
1 - Software; Archivo: actividades.php; Acción: Edita Actividades10 Asdasd; Fecha: 17-01-2025; Hora: 13:06:20
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:06:22
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:16:21
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 13:17:13
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:18:51
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 17-01-2025; Hora: 13:18:58
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 13:27:42
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:27:45
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:28:03
1 - Software; Archivo: actividades.php; Acción: Edita Actividades1 Visita al Centro Histórico; Fecha: 17-01-2025; Hora: 13:28:20
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:28:21
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:35:06
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 17-01-2025; Hora: 13:36:04
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:36:06
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 13:56:53
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:59:02
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 13:59:04
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 13:59:41
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 13:59:43
7 - José; Archivo: actividades.php; Acción: Alumno 1 fue apuntado por José a la actividad 1; Fecha: 17-01-2025; Hora: 13:59:57
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 13:59:57
ID: 2 - Nombre: Jose - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 17-01-2025; Hora: 14:01:20
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:01:20
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:01:35
2 - Jose; Archivo: actividades.php; Acción: El usuario 2 se apunta a la actividad 1; Fecha: 17-01-2025; Hora: 14:01:37
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:01:37
2 - Jose; Archivo: actividades.php; Acción: El usuario 2 se desapunta de la actividad 1; Fecha: 17-01-2025; Hora: 14:24:58
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:24:58
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:29:25
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:29:39
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:30:06
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:30:41
ID: 2 - Nombre: Jose - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 17-01-2025; Hora: 14:32:46
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:32:46
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:32:49
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 17-01-2025; Hora: 14:38:38
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-01-2025; Hora: 14:39:56
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 14:40:05
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 17-01-2025; Hora: 14:40:09
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:40:11
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:42:59
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:43:43
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:47:16
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:47:24
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 17-01-2025; Hora: 14:48:16
