1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 12:00:27
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 12:31:12
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 12:32:37
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 12:33:31
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:33:37
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:34:13
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:34:48
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:34:57
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:35:14
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:36:14
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:47:19
1 - Joser; Archivo: niveles.php; Acción: Se inserta un nuevo nivel; Fecha: 09-08-2024; Hora: 12:47:34
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:47:34
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:54:37
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:54:52
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:55:08
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:55:39
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:56:21
1 - Joser; Archivo: niveles.php; Acción: Se edita el nivel ; Fecha: 09-08-2024; Hora: 12:56:35
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:56:35
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:57:04
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:59:14
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:59:23
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 09-08-2024; Hora: 12:59:35
