
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:29:29
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:33:35
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:34:45
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:45:51
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:47:45
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:48:54
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 17:49:43
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:02:08
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:21:29
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:21:45
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:24:55
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:25:32
1 - Software; Archivo: actividades.php; Acción: Alumno 5 fue apuntado por Software a la actividad 8; Fecha: 22-11-2024; Hora: 18:25:38
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:25:38
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 8; Fecha: 22-11-2024; Hora: 18:25:42
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 22-11-2024; Hora: 11:42:30
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 22-11-2024; Hora: 11:42:48
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 22-11-2024; Hora: 11:51:47
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 22-11-2024; Hora: 11:52:14
