ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 10-12-2024; Hora: 08:28:12
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 08:33:05
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 10-12-2024; Hora: 08:44:16
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 08:48:44
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 10-12-2024; Hora: 08:48:59
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 08:49:04
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:32:54
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:32:59
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se cambia la contraseña de: iltxob1mfe220aad3e618813a44c3d; Fecha: 10-12-2024; Hora: 10:34:13
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:34:19
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 10:34:23
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:34:56
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:35:05
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:35:23
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:35:24
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 10:35:27
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 10:35:30
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se cambia la contraseña de: iltxob1mfe220aad3e618813a44c3d; Fecha: 10-12-2024; Hora: 11:51:04
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 11:51:24
ID: 2 - Nombre: Marcos - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 10-12-2024; Hora: 11:51:27
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 10-12-2024; Hora: 12:01:43
