ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-06-2025; Hora: 09:16:13
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:16:18
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 2; Fecha: 09-06-2025; Hora: 09:16:36
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:16:52
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 09-06-2025; Hora: 09:24:00
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-06-2025; Hora: 09:47:47
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:48:10
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 2; Fecha: 09-06-2025; Hora: 09:48:13
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-06-2025; Hora: 09:49:03
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:51:35
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:51:47
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 2; Fecha: 09-06-2025; Hora: 09:51:49
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 09:52:08
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-06-2025; Hora: 10:06:57
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 09-06-2025; Hora: 10:16:40
ID: 15 - Nombre: Andres - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 09-06-2025; Hora: 10:16:51
 - ; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 09-06-2025; Hora: 10:24:25
 - ; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 09-06-2025; Hora: 10:24:26
 - ; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 09-06-2025; Hora: 10:25:43
 - ; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 09-06-2025; Hora: 10:25:45
