ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 10:26:01
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 10:26:11
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 30-12-2024; Hora: 10:27:16
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 10:27:34
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 30-12-2024; Hora: 10:27:58
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 30-12-2024; Hora: 10:28:43
ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se cambia la contraseña de: sltxjlg7373c6fb5e24b19db9dc75; Fecha: 30-12-2024; Hora: 10:29:55
ID: 7 - Nombre: Luis Carlos - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 30-12-2024; Hora: 10:30:13
7 - Luis Carlos; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 30-12-2024; Hora: 10:30:15
ID: 7 - Nombre: Luis Carlos - IP: 192.168.31.89; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 30-12-2024; Hora: 11:05:24
ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 11:05:42
ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 11:05:46
ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 11:09:29
ID: 7 - Nombre: Luis Carlos - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 30-12-2024; Hora: 11:09:54
7 - Luis Carlos; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 30-12-2024; Hora: 11:09:55
ID: 7 - Nombre: Luis Carlos - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 30-12-2024; Hora: 13:05:12
7 - Luis Carlos; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 30-12-2024; Hora: 13:05:13
ID: 7 - Nombre: Luis Carlos - IP: 192.168.31.89; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 30-12-2024; Hora: 15:14:49
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 30-12-2024; Hora: 15:14:58
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 15:15:09
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 15:16:30
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 15:38:27
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 15:41:28
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 30-12-2024; Hora: 15:42:16
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 15:59:00
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 16:13:08
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 16:15:29
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 16:26:12
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 16:31:05
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 30-12-2024; Hora: 16:54:13
