ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-01-2025; Hora: 12:22:31
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 12:28:00
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 12:58:05
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-01-2025; Hora: 12:58:17
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 12:58:24
1 - Software; Archivo: personal_Edu.php; Acción: Se inserta un nuevo personal; Fecha: 14-01-2025; Hora: 13:07:08
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 13:07:08
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 13:07:12
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 13:07:18
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-01-2025; Hora: 13:30:25
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 13:30:30
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se cambia la contraseña de: natymgh959096f230a206458a20b3; Fecha: 14-01-2025; Hora: 13:33:19
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-01-2025; Hora: 13:33:37
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-01-2025; Hora: 13:57:55
 - Software; Archivo: asistencia.php; Acción: Lista las asistencias; Fecha: 14-01-2025; Hora: 13:58:05
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 13:58:12
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 14:23:29
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 14:24:50
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 15:06:44
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 15:07:14
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 14-01-2025; Hora: 15:26:41
1 - Software; Archivo: contrato.php; Acción: Interta un nuevo contrato ; Fecha: 14-01-2025; Hora: 15:26:59
