1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 10:44:12
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 10:45:49
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 20-11-2024; Hora: 11:09:09
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 12:14:18
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 12:15:03
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 12:16:50
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 12:23:46
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 20-11-2024; Hora: 12:41:58
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 20-11-2024; Hora: 12:44:34
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 20-11-2024; Hora: 12:47:15
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 20-11-2024; Hora: 12:47:30
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 20-11-2024; Hora: 12:51:23
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 20-11-2024; Hora: 12:55:19
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 20-11-2024; Hora: 12:55:26
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 20-11-2024; Hora: 11:38:57
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 20-11-2024; Hora: 11:39:17
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 20-11-2024; Hora: 11:39:19
