7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 14:48:59
1 - Software; Archivo: actividades.php; Acción: Edita Actividades9 La esquina; Fecha: 16-01-2025; Hora: 14:49:19
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 14:49:28
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 14:58:19
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:00:08
ID: 2 - Nombre: Jose - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 16-01-2025; Hora: 15:01:03
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:04
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:23
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:24
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:24
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:25
2 - Jose; Archivo: actividades.php; Acción: Lista las actividades de los alumnos; Fecha: 16-01-2025; Hora: 15:01:26
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 15:03:10
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:07:41
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:07:56
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:08:03
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:08:14
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:08:25
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:13:22
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:13:29
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:15:27
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:15:53
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:20:45
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:20:52
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:21:02
1 - Software; Archivo: actividades.php; Acción: Edita Actividades9 La esquina; Fecha: 16-01-2025; Hora: 15:21:09
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:21:11
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:21:12
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:21:25
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 6; Fecha: 16-01-2025; Hora: 15:21:27
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:21:29
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:21:36
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 15:21:55
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:26:12
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:26:15
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 15:26:19
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:26:21
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:31:40
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:31:59
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:31:59
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:33:13
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:34:09
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:34:13
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:34:53
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:35:01
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:35:03
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:40:31
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:44:41
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:44:57
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:44:57
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:45:15
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:45:15
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:45:17
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:48:57
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:48:58
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:50:35
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:54:33
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:54:37
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:55:55
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 15:55:57
